feature_subset,pipeline,seed,n_features,distinct_train_vectors,runtime_sec,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,silhouette,davies_bouldin,calinski_harabasz,selected_k,val_silhouette,selected_n_neighbors,selected_min_cluster_size,selected_min_samples,umap_fallback_ratio,selected_latent_dim
F4,A1,42,5,21,0.8,10,0.0,0.4533828163511374,0.5731462703757714,0.5688480884954308,0.4404309565441946,0.9587216923433775,0.2763396900442774,10406.32367699694,10.0,0.9690727240065578,,,,,
F4,A1,43,5,21,0.4,10,0.0,0.4530193798031305,0.5728352256733846,0.568355086256185,0.4404309565441946,0.9618267714595812,0.23066302600370672,11939.381979068226,10.0,0.9687878324139114,,,,,
F4,A1,44,5,21,0.4,10,0.0,0.4530193798031305,0.5728352256733846,0.568355086256185,0.4404309565441946,0.9618267714595812,0.23066302600370672,11939.381979068226,10.0,0.9687878324139114,,,,,
F4,A2,42,5,21,271.5,7,0.33244444444444443,0.11349619979224061,0.2710402069623521,0.26575295719789466,0.3581503766927985,0.536536693572998,1.060413339474831,321.67785314493267,,0.5150333642959595,50.0,250.0,5.0,0.0,
F4,A2,43,5,21,140.1,9,0.22044444444444444,0.19291943800394196,0.3398204858596698,0.33405691335865956,0.3929411135313001,0.562079131603241,0.8932455179675224,429.68515598663885,,0.5427518486976624,50.0,250.0,25.0,0.0,
F4,A2,44,5,21,182.7,7,0.29688888888888887,0.2348618171263807,0.37073689807126586,0.36609773726269634,0.39257841699749413,0.5737239122390747,1.0255981233994913,426.7605615770721,,0.5489289164543152,50.0,250.0,25.0,0.1537777777777778,
F4,A3,42,5,21,42.4,7,0.0,0.4491466597923625,0.5538669249463323,0.5507355745605803,0.4360177759991271,0.9765881299972534,0.08093989381600229,158981.86065890576,7.0,0.9783509373664856,,,,,4.0
F4,A3,43,5,21,27.1,10,0.0,0.4522286071854421,0.5720122100960878,0.5676973047350699,0.4403200003552188,0.9648502469062805,0.13560760640760056,93801.02061868165,10.0,0.9776538610458374,,,,,2.0
F4,A3,44,5,21,26.7,10,0.0,0.4522286071854421,0.5720122100960879,0.5676973047350699,0.4403200003552188,0.9770249724388123,0.11574686067993564,220394.47059959188,10.0,0.987302303314209,,,,,2.0
F6,A1,42,9,412,0.5,5,0.0,0.4827701993383834,0.6151995340883643,0.6133744896507043,0.580190925953853,0.5602009374150956,0.8333902369006578,1106.797831019882,5.0,0.5564495408043126,,,,,
F6,A1,43,9,412,0.5,5,0.0,0.4827701993383834,0.6151995340883644,0.6133744896507043,0.580190925953853,0.5602009374150956,0.8333902369006578,1106.797831019882,5.0,0.5564495408043126,,,,,
F6,A1,44,9,412,0.5,5,0.0,0.4827701993383834,0.6151995340883644,0.6133744896507043,0.580190925953853,0.5602009374150956,0.8333902369006578,1106.797831019882,5.0,0.5564495408043126,,,,,
F6,A2,42,9,412,108.8,19,0.3502222222222222,0.08806310136341217,0.31584851399185015,0.3040445731504084,0.31501569031324583,0.8634837865829468,0.35034922326532125,2566.335532619674,,0.8772958517074585,50.0,100.0,25.0,0.06488888888888888,
F6,A2,43,9,412,114.4,2,0.36088888888888887,0.17164519471105005,0.22547151106142005,0.22319249420128498,0.24054239125144852,0.2600189745426178,1.175094916215223,101.66757203005234,,0.27381134033203125,50.0,250.0,5.0,0.04711111111111111,
F6,A2,44,9,412,131.0,19,0.44266666666666665,0.07780768985897618,0.3089940717491937,0.29631858242692294,0.2985116376220334,0.8294547200202942,0.394190978717464,1380.4846840753642,,0.8409727215766907,50.0,100.0,25.0,0.04,
F6,A3,42,9,412,31.2,10,0.0,0.3831064327348415,0.5603141903280205,0.5563521928131787,0.5818402687910559,0.681479811668396,0.5483936058813035,2936.90290532771,10.0,0.7114729881286621,,,,,2.0
F6,A3,43,9,412,30.7,7,0.0,0.4224307012592242,0.5570190137375836,0.5542098904391486,0.6316712594360905,0.6877055168151855,0.5138895273548707,2888.2880990448534,7.0,0.6954402923583984,,,,,2.0
F6,A3,44,9,412,29.5,7,0.0,0.4260484973384614,0.5578553499485357,0.555051920113431,0.6337923813561521,0.6906731724739075,0.517284315225106,3069.381213469561,7.0,0.6959093809127808,,,,,2.0
F7,A1,42,9,272,1.2,3,0.0,0.3554128603453352,0.4923426289346973,0.4909315201911831,0.3367677457742483,0.5731906611412796,0.873707628220903,1281.0777261415428,3.0,0.5910545069846075,,,,,
F7,A1,43,9,272,1.1,3,0.0,0.3554128603453352,0.4923426289346973,0.4909315201911831,0.3367677457742483,0.5731906611412796,0.873707628220903,1281.0777261415428,3.0,0.5910545069846075,,,,,
F7,A1,44,9,272,1.1,3,0.0,0.3554128603453352,0.49234262893469727,0.49093152019118297,0.3367677457742483,0.5731906611412796,0.873707628220903,1281.0777261415428,3.0,0.5910545069846075,,,,,
